Zone#,PD,Population,Work General,Work Manufacturing,Work Professional,Work Retail,Work Unknown,Employment,Employment General,Employment Manufacturing,Employment Professional,Employment Retail,Employment Unknown,X,Y,Internal Distance,Retail Level,Other Level,Work Level,Internal Density,Parking Cost,Artirial Percentage
2615,27,2527.51,0,0,0,0,0,0,0,0,0,0,0,623034,4877917,183.8436836,0,0,0,0,0,0
2616,27,4174.82,0,0,0,0,0,0,0,0,0,0,0,622522,4876544,223.1984045,0,0,0,0,0,0
2617,27,1901.22,0,0,0,0,0,0,0,0,0,0,0,623939,4877162,202.3743094,0,0,0,0,0,0
2618,27,6845.86,0,0,0,0,0,0,0,0,0,0,0,624937,4877127,306.2903035,0,0,0,0,0,0
2619,27,7962.87,0,0,0,0,0,0,0,0,0,0,0,624893,4878782,297.1590951,0,0,0,0,0,0
2620,27,2676.36,0,0,0,0,0,0,0,0,0,0,0,624152,4879649,201.4220279,0,0,0,0,0,0
2621,27,2907.07,0,0,0,0,0,0,0,0,0,0,0,624249,4880145,199.3594604,0,0,0,0,0,0
2622,27,5681.98,0,0,0,0,0,0,0,0,0,0,0,624878,4880905,231.992816,0,0,0,0,0,0
2623,27,0,0,0,0,0,0,0,0,0,0,0,0,625726,4881010,218.8879724,0,0,0,0,0,0
2624,27,0,0,0,0,0,0,0,0,0,0,0,0,625939,4879759,232.3354854,0,0,0,0,0,0
2625,27,5034.25,0,0,0,0,0,0,0,0,0,0,0,626079,4878325,212.4947058,0,0,0,0,0,0
2651,32,200.17,0,0,0,0,0,0,0,0,0,0,0,604885,4863700,1041.897055,0,0,0,0,0,0
2652,32,1422.13,0,0,0,0,0,0,0,0,0,0,0,603981,4868617,1061.977479,0,0,0,0,0,0
2653,32,2279.39,0,0,0,0,0,0,0,0,0,0,0,605494,4872770,342.3552411,0,0,0,0,0,0
2654,32,104.24,0,0,0,0,0,0,0,0,0,0,0,606193,4873422,337.1419088,0,0,0,0,0,0
2655,32,369.78,0,0,0,0,0,0,0,0,0,0,0,607780,4867402,681.8875763,0,0,0,0,0,0
